1	ммм	мм	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1907.815#1908.428
2	для	для	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#1911.788#1912.097
3	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#1912.097#1912.406
4	счастье	счастье	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1912.406#1912.715
5	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#1912.715#1913.024
6	это	это	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1913.024#1913.333
7	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#1913.333#1913.642
8	ну	ну	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1913.642#1913.952
9	на	на	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#1914.746#1915.05
10	разных	разный	ADJ	_	Case=Loc|Degree=Pos|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#1915.05#1915.354
11	уровнях	уровень	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#1915.354#1915.658
12	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#1915.658#1915.962
13	просто	просто	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1915.962#1916.266
14	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#1916.266#1916.57
15	не...	не	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1916.57#1916.874
16	не	не	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1916.874#1917.178
17	настолько	настолько	ADV	_	Degree=Pos	_	_	_	@mr1989m-words#@mr1989m#1917.178#1917.482
18	суперразвитый	суперразвитый	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1917.482#1917.786
19	чтобы	чтобы	SCONJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1917.786#1918.09
20	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#1918.09#1918.394
21	что	что	SCONJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1918.394#1918.698
22	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#1918.698#1919.002
23	просто	просто	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1919.002#1919.306
24	там	там	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1919.306#1919.61
25	всегда	всегда	ADV	_	Degree=Pos	_	_	_	@mr1989m-words#@mr1989m#1919.61#1919.914
26	счастлив	счастливый	ADJ	_	Degree=Pos|Gender=Masc|Number=Sing|Variant=Short	_	_	_	@mr1989m-words#@mr1989m#1919.914#1920.218
27	ээ	ээ	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1920.218#1920.522
28	и	и	CCONJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1920.522#1920.826
29	для	для	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#1920.826#1921.13
30	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#1921.13#1921.434
31	просто	просто	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1921.434#1921.738
32	существование	существование	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1921.738#1922.042
33	любое	любой	DET	_	Case=Nom|Gender=Neut|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1922.042#1922.357
34	это	это	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1923.03#1923.474
35	счастье	счастье	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1923.474#1923.918
36	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#1923.918#1924.362
